iter	Passed	Remaining
886	8739	17114
887	8749	17105
888	8760	17097
889	8770	17087
890	8777	17073
891	8787	17063
892	8797	17052
893	8807	17043
894	8817	17034
895	8828	17026
896	8838	17017
897	8849	17008
898	8858	16997
899	8868	16988
900	8878	16979
901	8889	16970
902	8898	16959
903	8907	16947
904	8916	16937
905	8928	16929
906	8937	16919
907	8947	16909
908	8957	16900
909	8967	16890
910	8977	16881
911	8987	16871
912	8998	16862
913	9008	16853
914	9018	16843
915	9028	16834
916	9037	16822
917	9046	16812
918	9056	16802
919	9065	16791
920	9076	16783
921	9084	16769
922	9094	16760
923	9104	16751
924	9114	16741
925	9125	16733
926	9135	16723
927	9145	16714
928	9154	16702
929	9164	16692
930	9174	16682
931	9183	16672
932	9192	16661
933	9201	16650
934	9212	16641
935	9222	16632
936	9232	16622
937	9242	16612
938	9252	16603
939	9262	16593
940	9272	16584
941	9282	16575
942	9293	16565
943	9302	16554
944	9312	16545
945	9321	16534
946	9332	16527
947	9342	16516
948	9352	16506
949	9361	16496
950	9371	16486
951	9381	16476
952	9391	16466
953	9401	16457
954	9412	16448
955	9422	16440
956	9431	16428
957	9441	16418
958	9450	16407
959	9460	16397
960	9470	16388
961	9479	16376
962	9490	16369
963	9500	16359
964	9509	16348
965	9519	16338
966	9528	16327
967	9538	16318
968	9549	16310
969	9560	16301
970	9570	16292
971	9580	16283
972	9589	16271
973	9598	16260
974	9608	16251
975	9619	16242
976	9630	16234
977	9640	16225
978	9650	16216
979	9661	16208
980	9670	16196
981	9680	16186
982	9691	16178
983	9700	16168
984	9711	16158
985	9719	16147
986	9729	16136
987	9739	16127
988	9750	16119
989	9759	16108
990	9770	16099
991	9779	16089
992	9789	16079
993	9798	16068
994	9807	16056
995	9817	16046
996	9828	16038
997	9837	16027
998	9846	16017
999	9857	16008
1000	9867	15998
1001	9876	15988
1002	9886	15978
1003	9896	15968
1004	9905	15958
1005	9914	15945
1006	9923	15935
1007	9933	15924
1008	9943	15915
1009	9952	15905
1010	9961	15893
1011	9973	15885
1012	9983	15876
1013	9992	15865
1014	10000	15853
1015	10011	15845
1016	10020	15834
1017	10030	15823
1018	10040	15814
1019	10050	15804
1020	10060	15795
1021	10069	15783
1022	10079	15774
1023	10090	15766
1024	10100	15756
1025	10109	15746
1026	10119	15735
1027	10128	15724
1028	10139	15716
1029	10146	15703
1030	10156	15693
1031	10167	15684
1032	10176	15673
1033	10186	15664
1034	10196	15653
1035	10205	15643
1036	10216	15635
1037	10226	15625
1038	10236	15616
1039	10246	15605
1040	10255	15595
1041	10266	15586
1042	10276	15577
1043	10286	15568
1044	10294	15555
1045	10304	15545
1046	10314	15535
1047	10325	15527
1048	10335	15518
1049	10346	15509
1050	10355	15498
1051	10365	15489
1052	10376	15480
1053	10386	15471
1054	10396	15461
1055	10406	15451
1056	10416	15442
1057	10426	15432
1058	10436	15422
1059	10446	15413
1060	10455	15402
1061	10466	15394
1062	10475	15383
1063	10486	15374
1064	10496	15364
1065	10505	15353
1066	10515	15344
1067	10524	15333
1068	10534	15324
1069	10544	15314
1070	10554	15303
1071	10563	15293
1072	10573	15283
1073	10583	15273
1074	10592	15263
1075	10604	15256
1076	10613	15245
1077	10623	15236
1078	10634	15226
1079	10644	15217
1080	10653	15206
1081	10661	15194
1082	10671	15185
1083	10682	15175
1084	10691	15165
1085	10701	15155
1086	10712	15146
1087	10722	15137
1088	10731	15126
1089	10741	15116
1090	10751	15106
1091	10761	15098
1092	10772	15089
1093	10782	15079
1094	10791	15068
1095	10801	15059
1096	10812	15050
1097	10821	15040
1098	10831	15029
1099	10840	15019
1100	10850	15008
1101	10860	14999
1102	10870	14990
1103	10880	14980
1104	10890	14970
1105	10902	14964
1106	10912	14953
1107	10922	14944
1108	10932	14935
1109	10943	14926
1110	10953	14916
1111	10963	14906
1112	10971	14894
1113	10981	14885
1114	10990	14873
1115	11000	14864
1116	11009	14853
1117	11018	14842
1118	11028	14832
1119	11039	14824
1120	11048	14813
1121	11057	14802
1122	11067	14793
1123	11077	14783
1124	11087	14773
1125	11098	14764
1126	11106	14753
1127	11113	14739
1128	11123	14729
1129	11134	14721
1130	11144	14711
1131	11154	14701
1132	11164	14691
1133	11172	14680
1134	11182	14670
1135	11190	14657
1136	11200	14648
1137	11211	14639
1138	11222	14631
1139	11232	14621
1140	11241	14611
1141	11252	14602
1142	11262	14592
1143	11273	14584
1144	11281	14572
1145	11290	14561
1146	11300	14551
1147	11310	14542
1148	11320	14532
1149	11330	14523
1150	11339	14511
1151	11348	14500
1152	11358	14491
1153	11368	14481
1154	11378	14472
1155	11389	14463
1156	11398	14452
1157	11407	14441
1158	11417	14431
1159	11426	14420
1160	11435	14410
1161	11444	14399
1162	11454	14389
1163	11463	14378
1164	11474	14369
1165	11483	14359
1166	11492	14348
1167	11501	14337
1168	11511	14327
1169	11521	14318
1170	11533	14310
1171	11542	14300
1172	11551	14288
1173	11561	14279
1174	11570	14268
1175	11581	14259
1176	11591	14249
1177	11600	14239
1178	11610	14229
1179	11617	14217
1180	11629	14209
1181	11639	14199
1182	11649	14190
1183	11660	14181
1184	11671	14172
1185	11680	14162
1186	11692	14154
1187	11701	14143
1188	11710	14133
1189	11720	14123
1190	11731	14115
1191	11740	14104
1192	11750	14094
1193	11759	14083
1194	11769	14074
1195	11779	14065
1196	11790	14056
1197	11801	14046
1198	11809	14035
1199	11820	14026
1200	11830	14017
1201	11840	14008
1202	11850	13997
1203	11859	13987
1204	11869	13977
1205	11878	13966
1206	11888	13956
1207	11898	13947
1208	11908	13937
1209	11918	13927
1210	11928	13918
1211	11939	13909
1212	11949	13899
1213	11957	13888
1214	11966	13877
1215	11977	13868
1216	11988	13859
1217	11997	13849
1218	12007	13840
1219	12017	13829
1220	12027	13820
1221	12037	13810
1222	12047	13800
1223	12056	13790
1224	12065	13778
1225	12075	13769
1226	12086	13760
1227	12094	13749
1228	12105	13740
1229	12114	13729
1230	12124	13720
1231	12135	13711
1232	12145	13702
1233	12155	13692
1234	12165	13682
1235	12175	13673
1236	12186	13663
1237	12197	13655
1238	12207	13645
1239	12217	13635
1240	12226	13626
1241	12236	13615
1242	12245	13605
1243	12256	13596
1244	12266	13587
1245	12275	13576
1246	12285	13566
1247	12295	13556
1248	12305	13547
1249	12314	13536
1250	12322	13524
1251	12332	13514
1252	12342	13504
1253	12351	13494
1254	12360	13483
1255	12370	13473
1256	12380	13463
1257	12389	13453
1258	12398	13442
1259	12407	13431
1260	12417	13421
1261	12426	13410
1262	12437	13402
1263	12447	13393
1264	12457	13382
1265	12466	13372
1266	12475	13362
1267	12485	13351
1268	12493	13340
1269	12503	13330
1270	12514	13321
1271	12524	13312
1272	12533	13301
1273	12543	13291
1274	12554	13282
1275	12564	13273
1276	12575	13264
1277	12585	13254
1278	12595	13245
1279	12605	13236
1280	12616	13226
1281	12626	13217
1282	12636	13207
1283	12645	13197
1284	12655	13187
1285	12664	13176
1286	12674	13166
1287	12683	13156
1288	12692	13144
1289	12701	13135
1290	12710	13123
1291	12719	13113
1292	12729	13103
1293	12738	13093
1294	12749	13084
1295	12759	13074
1296	12769	13064
1297	12779	13055
1298	12789	13045
1299	12799	13035
1300	12808	13025
1301	12817	13014
1302	12827	13004
1303	12837	12994
1304	12847	12985
1305	12855	12974
1306	12865	12963
1307	12874	12953
1308	12884	12943
1309	12894	12933
1310	12903	12922
1311	12913	12913
1312	12922	12903
1313	12931	12892
1314	12942	12883
1315	12951	12872
1316	12961	12862
1317	12969	12851
1318	12980	12842
1319	12989	12832
1320	12999	12822
1321	13008	12812
1322	13018	12802
1323	13027	12791
1324	13037	12781
1325	13047	12772
1326	13057	12762
1327	13067	12752
1328	13077	12742
1329	13085	12731
1330	13095	12721
1331	13105	12712
1332	13114	12701
1333	13123	12690
1334	13132	12679
1335	13141	12669
1336	13150	12658
1337	13162	12650
1338	13171	12640
1339	13181	12630
1340	13190	12620
1341	13200	12610
1342	13211	12601
1343	13220	12591
1344	13229	12580
1345	13240	12571
1346	13250	12562
1347	13260	12552
1348	13268	12540
1349	13279	12531
1350	13288	12521
1351	13298	12511
1352	13309	12502
1353	13319	12492
1354	13329	12483
1355	13337	12472
1356	13348	12463
1357	13358	12453
1358	13368	12443
1359	13377	12433
1360	13386	12422
1361	13396	12412
1362	13405	12402
1363	13415	12393
1364	13425	12383
1365	13435	12372
1366	13446	12364
1367	13456	12355
1368	13466	12344
1369	13476	12335
1370	13485	12325
1371	13495	12314
1372	13506	12306
1373	13516	12296
1374	13526	12287
1375	13536	12277
1376	13545	12267
1377	13555	12257
1378	13564	12245
1379	13573	12235
1380	13582	12225
1381	13592	12215
1382	13601	12204
1383	13611	12194
1384	13621	12185
1385	13630	12175
1386	13641	12166
1387	13650	12155
1388	13660	12145
1389	13670	12135
1390	13678	12124
1391	13688	12114
1392	13697	12104
1393	13706	12094
1394	13717	12085
1395	13727	12075
1396	13736	12065
1397	13746	12054
1398	13756	12045
1399	13766	12035
1400	13776	12026
1401	13786	12016
1402	13796	12006
1403	13805	11996
1404	13815	11986
1405	13824	11976
1406	13834	11966
1407	13843	11955
1408	13854	11947
1409	13864	11936
1410	13873	11927
1411	13884	11917
1412	13893	11907
1413	13903	11897
1414	13912	11887
1415	13923	11877
1416	13931	11867
1417	13942	11857
1418	13948	11845
1419	13959	11835
1420	13968	11825
1421	13978	11815
1422	13987	11805
1423	13998	11796
1424	14007	11785
1425	14017	11776
1426	14027	11766
1427	14037	11757
1428	14047	11747
1429	14058	11738
1430	14068	11728
1431	14078	11718
1432	14088	11709
1433	14097	11698
1434	14107	11688
1435	14118	11679
1436	14127	11669
1437	14136	11659
1438	14143	11647
1439	14153	11637
1440	14163	11628
1441	14174	11619
1442	14184	11609
1443	14195	11599
1444	14205	11590
1445	14215	11580
1446	14225	11571
1447	14236	11562
1448	14246	11552
1449	14255	11542
1450	14264	11531
1451	14274	11522
1452	14286	11513
1453	14297	11504
1454	14307	11495
1455	14318	11486
1456	14328	11476
1457	14338	11466
1458	14347	11456
1459	14357	11446
1460	14367	11436
1461	14376	11426
1462	14385	11416
1463	14394	11405
1464	14404	11395
1465	14413	11385
1466	14424	11376
1467	14434	11366
1468	14443	11356
1469	14453	11346
1470	14462	11336
1471	14472	11326
1472	14481	11316
1473	14490	11305
1474	14500	11295
1475	14510	11285
1476	14519	11275
1477	14528	11265
1478	14537	11254
1479	14547	11244
1480	14557	11234
1481	14567	11225
1482	14575	11214
1483	14586	11205
1484	14594	11194
1485	14603	11183
1486	14612	11173
1487	14622	11163
1488	14633	11154
1489	14643	11144
1490	14652	11134
1491	14661	11123
1492	14671	11114
1493	14681	11104
1494	14692	11095
1495	14702	11085
1496	14712	11076
1497	14723	11067
1498	14734	11057
1499	14744	11048
1500	14754	11039
1501	14764	11028
1502	14772	11018
1503	14782	11008
1504	14792	10998
1505	14802	10989
1506	14812	10979
1507	14821	10968
1508	14830	10958
1509	14840	10948
1510	14849	10938
1511	14860	10929
1512	14869	10918
1513	14879	10909
1514	14889	10899
1515	14899	10889
1516	14909	10879
1517	14920	10871
1518	14931	10862
1519	14941	10852
1520	14952	10843
1521	14962	10833
1522	14973	10824
1523	14984	10815
1524	14993	10805
1525	15003	10795
1526	15011	10784
1527	15023	10775
1528	15032	10765
1529	15043	10756
1530	15054	10747
1531	15064	10737
1532	15073	10727
1533	15083	10717
1534	15093	10708
1535	15103	10698
1536	15114	10689
1537	15124	10679
1538	15134	10670
1539	15144	10660
1540	15154	10650
1541	15164	10640
1542	15174	10630
1543	15184	10621
1544	15194	10611
1545	15202	10600
1546	15211	10590
1547	15220	10579
1548	15230	10569
1549	15239	10559
1550	15249	10549
1551	15258	10539
1552	15267	10529
1553	15278	10519
1554	15288	10510
1555	15297	10500
1556	15307	10490
1557	15317	10480
1558	15327	10470
1559	15337	10461
1560	15347	10451
1561	15357	10441
1562	15364	10429
1563	15374	10420
1564	15383	10409
1565	15393	10400
1566	15401	10389
1567	15412	10379
1568	15422	10369
1569	15432	10360
1570	15442	10350
1571	15451	10340
1572	15462	10331
1573	15472	10321
1574	15482	10311
1575	15491	10301
1576	15502	10292
1577	15512	10282
1578	15523	10273
1579	15532	10263
1580	15543	10253
1581	15553	10244
1582	15560	10233
1583	15571	10223
1584	15581	10213
1585	15590	10203
1586	15600	10194
1587	15610	10184
1588	15620	10174
1589	15631	10165
1590	15641	10155
1591	15650	10145
1592	15659	10134
1593	15669	10124
1594	15678	10115
1595	15688	10105
1596	15698	10095
1597	15708	10085
1598	15717	10075
1599	15727	10065
1600	15738	10056
1601	15748	10046
1602	15759	10037
1603	15768	10027
1604	15778	10017
1605	15788	10007
1606	15797	9997
1607	15808	9988
1608	15818	9978
1609	15828	9969
1610	15839	9959
1611	15849	9950
1612	15858	9940
1613	15867	9929
1614	15877	9919
1615	15886	9909
1616	15895	9898
1617	15905	9889
1618	15916	9880
1619	15927	9870
1620	15937	9861
1621	15947	9851
1622	15956	9841
1623	15966	9831
1624	15976	9821
1625	15985	9811
1626	15995	9801
1627	16002	9790
1628	16012	9780
1629	16022	9770
1630	16032	9760
1631	16042	9751
1632	16052	9741
1633	16062	9731
1634	16072	9722
1635	16082	9712
1636	16093	9703
1637	16102	9693
1638	16112	9683
1639	16121	9673
1640	16131	9663
1641	16143	9654
1642	16153	9645
1643	16164	9635
1644	16173	9625
1645	16182	9614
1646	16191	9604
1647	16200	9594
1648	16210	9584
1649	16220	9574
1650	16229	9564
1651	16238	9554
1652	16248	9544
1653	16257	9534
1654	16267	9524
1655	16277	9514
1656	16287	9504
1657	16297	9495
1658	16307	9485
1659	16317	9475
1660	16327	9466
1661	16338	9457
1662	16347	9446
1663	16357	9436
1664	16367	9427
1665	16376	9417
1666	16387	9407
1667	16396	9397
1668	16405	9387
1669	16416	9377
1670	16426	9368
1671	16435	9358
1672	16445	9348
